x,id,y
103.836224,Plaza Singapura,1.303827
103.834524,Sembawang Wharves,1.302266
103.83769,Orchard Gateway,1.30316
103.853788,Sembawang Shopping Centre,1.297617
103.845319,Sun Plaza,1.300652
103.829917,Bukit Gombak Station,1.458931
103.838859,Arrival Station,1.300531
103.824376,Taxi Stand,1.441753
103.819096,The Bayshore,1.447964
103.751533,Blk 209,1.358814
103.839272,Junction 8,1.247191
103.780008,MAS Building,1.30744
103.831944,International Plaza,1.308504
103.939102,Clementi Station,1.312156
103.931565,Blk 90 Food Centre,1.324442
103.859907,King Albert Park,1.283886
103.817888,Orchard Towers,1.251238
103.849077,Century Square Taxi Stand,1.350708
103.84706,Tampines Mall,1.274669
103.846306,Tanjong Pagar Plaza,1.275837
103.775143,Harbourfront Centre,1.299953
103.773492,Woodlands Station,1.308179
103.773409,Bedok Station,1.307584
103.772561,Singapore-Johore Taxi,1.305692
103.774728,Lorong Chuan Station,1.304098
103.774112,Thomson Plaza,1.305097
103.772428,Raffles Hotel,1.304175
103.771826,Ang Mo Kio Hub,1.306876
103.771249,Tanah Merah Station,1.298142
103.771986,Serangoon Station,1.298128
103.781976,SGH Block 7 Entrance,1.295678
103.770134,Buona Vista Station,1.29384
103.76515,Hitachi Towers,1.31473
103.85494,Holland Road Shopping Centre,1.322756
103.779226,Hougang Station,1.336603
103.829111,Immigration and Checkpoints Authority,1.307157
103.761425,Institute of Mental Health,1.42474
103.774155,Pioneer Station,1.292316
103.94354,Jurong East Station,1.352314
103.944928,KK Hospital,1.352249
103.787349,Katong Shopping Centre,1.2988
103.8432,Keck Seng Tower,1.276027
103.859974,Khatib Station,1.282423
103.861011,Kovan Centre,1.284741
103.820555,Kovan Station,1.264778
103.785605,Kranji Station,1.435585
103.787231,Lau Pa Sat,1.437255
103.929594,Commonwealth Station,1.323651
103.85642,Dakota Station,1.303347
103.864584,Dover Station,1.351618
